stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
1493,1493,Butler Plaza Transfer Station,Westbound SW 30th Place @ Farside SW 42nd Street,29.62515397,-82.38788979
1349,1349,Hilton Garden Inn,Eastbound SW 33rd PL @ Farside SW 42nd ST,29.62301617,-82.38571894
1548,1548,Sam's Club,Eastbound SW 33rd PL @ Nearside SW 37th Blvd,29.62299946,-82.38345284
1491,1491,Lowe's @ Butler Plaza Eastbound,Eastbound Windmeadows Blvd @ Farside SW 62nd Blvd,29.6239526,-82.38079895
1306,1306,Publix at Butler Plaza,Southbound SW 35th Blvd @ Farside Windmeadows Blvd,29.62527747,-82.37879983
1592,1592,Pizza Hut Archer Rd Eastbound,Eastbound SW Archer Rd @ Farside SW 35th Blvd,29.62411117,-82.37532784
34,34,Direct Insurance @ Archer Road,Eastbound Archer RD @ Farside SW 34th ST,29.62758089,-82.37119809
35,35,Silver Creek Apartments,Eastbound Archer RD @ Farside SW 34th ST,29.62907841,-82.3681701
36,36,Capstone Quarters Apartments,Eastbound Archer RD @ Farside Surge Area DR,29.62974694,-82.36662484
37,37,Brandywine Apartments,Eastbound Archer RD @ Farside Surge Area DR,29.63036821,-82.36536649
38,38,University Commons,Eastbound Archer RD @ Nearside SW 23rd TER,29.63196028,-82.36199718
39,39,The Bartram Apartments,Eastbound Archer RD @ Farside SW 23rd DR,29.63369636,-82.3581948
40,40,Shands Care Helicopter Pad,Eastbound Archer RD @ Nearside Gale Lemerand DR,29.63640161,-82.35091151
1199,1199,VA Hospital @ Archer Rd,Eastbound Archer RD @ Farside Center DR,29.63823338,-82.34558953
118,118,Shands Cancer Hospital,Eastbound SW Archer Rd Farside SW 16th St,29.639248,-82.342737
360,360,Norman Field,Northbound SW 13th ST @ Farside SW 8th AVE,29.64542832,-82.33920502
361,361,Norman Hall,Northbound SW 13th ST @ Nearside SW 5th AVE,29.6471576,-82.33920252
362,362,Social 28 Apartments,Northbound SW 13th ST @ Nearside SW 3rd AVE,29.64916344,-82.33921535
1159,1159,Phi Kappa Tau,Eastbound SW 2nd AVE @ Farside SW 13th ST,29.65018494,-82.33867202
52,52,Eastbound SW 2nd Avenue @ SW 10th Street,Eastbound SW 2nd AVE @ Nearside SW 10th ST,29.65015377,-82.33540985
53,53,Innovation Square East,Eastbound SW 2nd AVE @ Farside SW 7th TER,29.65018094,-82.33208414
55,55,Second Avenue Center Apartments,Eastbound SW 2nd AVE @ Farside SW 6th ST,29.65017493,-82.32989959
56,56,Eastbound SW 2nd Ave @ SW 2nd St,Eastbound SW 2nd AVE @ Nearside SW 2nd ST,29.650203,-82.326684
1290,1290,Alachua County Courthouse,Eastbound SW 2nd AVE @ Nearside S Main ST,29.65019807,-82.32515318
57,57,Hippodrome Theatre,Eastbound SE 2nd AVE @ Nearside SE 1st ST,29.65020258,-82.32414402
1216,1216,Arlington Square Apartments,Southbound SE 3rd ST @ Nearside SE 2nd PL,29.64974377,-82.32248002
1,1,Rosa Parks RTS Downtown Station,Northbound SE 3rd ST @ Nearside SE 3rd ST,29.64556734,-82.32269681
1206,1206,Arlington Square Apartments,Northbound SE 3rd ST @ Nearside SE 2nd PL,29.64951749,-82.32230172
2,2,Hampton Inn Hotel,Westbound SE 2nd AVE @ Nearside SE 1st ST,29.65034625,-82.32380428
3,3,Westbound SW 2nd Avenue @ SW 2nd Street,Westbound SW 2nd AVE @ Nearside SW 2nd ST,29.6503971,-82.32645869
4,4,The Continuum,Westbound SW 2nd AVE @ Nearside SW 6th ST,29.65032525,-82.32967432
6,6,720 SW 2nd Ave,Westbound SW 2nd AVE @ Nearside SW 8th ST,29.65033494,-82.33279035
7,7,Infinity Hall,Westbound SW 2nd AVE @ Nearside SW 10th ST,29.65031427,-82.33460268
1323,1323,College Manor Apartments,Westbound SW 2nd AVE @ Nearside SW 13th ST,29.65033394,-82.33780135
441,441,Tigert Hall,Southbound SW 13th ST @ Farside SW 2nd AVE,29.6496298,-82.339521
442,442,Southbound SW 13th Street @ Inner Road,Southbound SW 13th ST @ Nearside Inner RD,29.64766494,-82.33951718
443,443,Southbound SW 13th Street @ Museum Road,Southbound SW 13th ST @ Nearside Museum RD,29.64506844,-82.33942752
444,444,University Housing Office,Southbound SW 13th ST @ Nearside Diamond RD,29.64389156,-82.33942707
446,446,UF Health Archer Road,Westbound Archer RD @ Farside SW 16th ST,29.63904961,-82.34408885
18,18,Shands Hospital @ Davis Cancer Pavilion,Westbound Archer RD @ Nearside Gale Lemerand DR,29.63702289,-82.34988451
20,20,Mt Vernon Apartments,Westbound Archer RD @ Nearside SW 23rd DR,29.63388266,-82.35863713
22,22,Country Village,Westbound Archer RD @ Farside SW 23rd TER,29.63204594,-82.36253384
23,23,UF Surge Area Drive,Westbound Archer RD @ Nearside Surge Area DR,29.63054044,-82.36576268
24,24,Take 5 Car Wash,Westbound Archer RD @ Farside Surge Area DR,29.62957233,-82.36782773
25,25,Westbound Archer Road @ SW 34th Street,Westbound Archer RD @ Nearside SW 34th ST,29.62775815,-82.37153823
26,26,Whole Foods @ Butler Town Center,Westbound Archer RD @ Farside SW 34th ST,29.62560361,-82.37439434
27,27,Chili's Grill and Bar @ Butler Plaza,Westbound Archer RD @ Nearside SW 35th BLVD,29.62378176,-82.37608714
28,28,Bonefish Grill Seafood Restaurant @ Butler Plaza,Westbound SW 35th BLVD @ Farside Archer RD,29.62480428,-82.37761251
1492,1492,Butler Plaza,Westbound Windmeadows Blvd @ Nearside SW 62nd Blvd,29.62386136,-82.38131131
1547,1547,Sam's Club,Westbound SW 33rd PL @ Farside SW 37th Blvd,29.6231781,-82.38356615
1549,1549,Hilton Garden Inn,Westbound SW 33rd PL @ Nearside SW 42nd ST,29.62319396,-82.38657029
1234,1234,NE Walmart Supercenter,Eastbound NE 12th AVE @ Farside Waldo RD,29.66261543,-82.30242286
568,568,Mount Zion Church of God,Southbound NE 19th ST @ Nearside NE 8th AVE,29.65964028,-82.299921
1261,1261,Gardenia Garden Apartments,Westbound NE 8th AVE @ Farside NE 17th DR,29.65926381,-82.30263686
1500,1500,NE 15th St @ NE 7th Ave,Southbound NE 15th St @ Nearside NE 7th Ave,29.65787915,-82.30591386
1440,1440,Mt. Olive Primitive Baptist Church,Southbound NE 15th ST @ Farside NE 5th PL,29.65586079,-82.30591261
1498,1498,NE 15th St @ NE 3rd Ave Farside,Southbound NE 15th St @ Farside NE 3rd Ave,29.65341905,-82.30591584
350,350,Fast Eddie's Restaurant,Southbound SE 15th ST @ Farside SE 2nd AVE,29.65050594,-82.30592753
97,97,Veteran's Honor Center,Eastbound SE 3rd AVE @ Nearside SE 17th ST,29.64909794,-82.30334586
98,98,SE Hawthorne Rd @ SE 18th St Eastbound,Eastbound Hawthorne RD @ Farside SE 21st ST,29.64892454,-82.30151937
99,99,SE Hawthorne Rd @ SE 21 St Eastbound,Eastbound Hawthorne RD @ Nearside SE 21st ST,29.6469971,-82.2977727
100,100,GTEC,Eastbound Hawthorne RD @ Nearside SE 24th ST,29.64620594,-82.29621203
122,122,Lincoln Estates,Southbound SE 19th TER @ Farside SE 8th AVE,29.64422756,-82.29941165
124,124,Lincoln Estates Neighborhood,Southbound SE 19th TER @ Nearside SE 10th PL,29.64188191,-82.29941977
1364,1364,Southbound SE 19th TER @ SE 12th AVE,Southbound SE 19th TER @ Nearside SE 12th AVE,29.64036795,-82.2994303
125,125,Westbound SE 12th Avenue @ SE 18th Terrace,Westbound SE 12th AVE @ Nearside SE 18th TER,29.64030198,-82.30235536
127,127,Lincoln Estates Neighborhood,Westbound SE 12th AVE @ Nearside SE 15th ST,29.64032782,-82.30574171
128,128,Southbound SE 15th Street @ SE 14th Avenue,Southbound SE 15th ST @ Nearside SE 14th AVE,29.63845911,-82.30594603
129,129,McPherson Recreational Center,Southbound SE 15th ST @ Nearside SE 22nd AVE,29.63373294,-82.30590919
131,131,Westbound SE 22nd Avenue @ SE 13th Street,Westbound SE 22nd AVE @ Nearside SE 13th ST,29.63186409,-82.30857958
